,Time,Left_Ankle,Left_Knee,Left_Hip
155,3.12,33.24457931518555,77.69831848144531,53.215232849121094
156,3.14,33.93268585205078,78.35247039794922,50.96368408203125
157,3.16,35.50740051269531,79.92872619628906,50.312835693359375
158,3.18,36.52262878417969,83.76226806640625,55.64149475097656
159,3.2,37.68938064575195,87.01854705810547,60.049644470214844
160,3.22,37.86293029785156,89.31498718261719,62.64807891845703
161,3.24,39.17059326171875,91.6728286743164,63.690216064453125
162,3.26,40.808326721191406,93.946044921875,64.67259216308594
163,3.28,40.879615783691406,95.70257568359375,66.7022933959961
164,3.3,41.4925537109375,97.36239624023438,67.19354248046875
165,3.32,41.518348693847656,97.83251190185547,68.77935028076172
166,3.34,41.525634765625,98.84547424316406,70.3514175415039
167,3.36,42.11322021484375,99.0392837524414,69.96222686767578
168,3.38,41.54354476928711,99.08402252197266,71.12281799316406
169,3.4,41.53248977661133,98.67213439941406,70.16830444335938
170,3.42,41.51985549926758,99.06600952148438,71.1336669921875
171,3.44,41.52342224121094,98.45685577392578,70.6673583984375
172,3.46,41.558528900146484,98.48155975341797,70.66880798339844
173,3.48,41.56187438964844,97.87355041503906,70.0683822631836
174,3.5,41.544368743896484,97.84137725830078,70.03213500976562
175,3.52,41.502601623535156,96.77081298828125,68.45069885253906
176,3.54,41.014495849609375,96.22715759277344,68.52022552490234
177,3.56,40.408897399902344,93.96822357177734,67.1496810913086
178,3.58,39.79359436035156,91.72649383544922,65.66765594482422
179,3.6,39.13822555541992,90.60879516601562,64.91691589355469
180,3.62,37.83769989013672,86.74140167236328,61.374549865722656
181,3.64,36.689632415771484,84.45646667480469,60.473388671875
182,3.66,35.544254302978516,79.9964599609375,55.51508331298828
183,3.68,33.494998931884766,78.4891357421875,56.308753967285156
184,3.7,32.80889129638672,74.44554138183594,51.3988037109375
185,3.72,29.192733764648438,69.1781997680664,51.40931701660156
186,3.74,27.68756103515625,66.11145782470703,50.3221435546875
187,3.76,26.229087829589844,61.586219787597656,47.34211730957031
188,3.78,25.08050537109375,58.74568176269531,44.97254943847656
189,3.8,20.762771606445312,49.09901428222656,38.38151550292969
190,3.82,19.4141845703125,49.317962646484375,42.33399963378906
191,3.84,17.16942596435547,44.06022644042969,37.50096130371094
192,3.86,12.261405944824219,36.722503662109375,35.65202331542969
193,3.88,12.188796997070312,34.28138732910156,32.81404113769531
194,3.9,7.7606201171875,24.72906494140625,27.283447265625
195,3.92,6.16888427734375,21.684417724609375,25.45526123046875
196,3.94,1.6031112670898438,11.693084716796875,19.926910400390625
197,3.96,1.5803985595703125,10.057144165039062,16.700729370117188
198,3.98,-2.3912887573242188,1.4381866455078125,10.906982421875
199,4.0,-4.056129455566406,1.793426513671875,8.667312622070312
200,4.02,-4.7936859130859375,3.256195068359375,7.9409942626953125
201,4.04,-4.8392486572265625,3.3435821533203125,7.8859100341796875
202,4.06,-5.5791778564453125,4.8031005859375,6.5931243896484375
203,4.08,-5.428749084472656,5.3849334716796875,5.306793212890625
204,4.1,-4.700103759765625,3.918914794921875,6.0379486083984375
205,4.12,-4.747222900390625,3.962860107421875,5.4871673583984375
206,4.14,-4.08770751953125,3.3319091796875,5.4203948974609375
207,4.16,-4.012115478515625,3.2299346923828125,5.43939208984375
208,4.18,-4.010734558105469,3.207489013671875,5.4646148681640625
209,4.2,-4.019432067871094,3.2323455810546875,5.5377655029296875
210,4.22,-4.044197082519531,3.2678985595703125,5.512603759765625
211,4.24,-3.3606109619140625,2.62213134765625,4.8522491455078125
212,4.26,-3.3747406005859375,2.6337432861328125,4.8558502197265625
213,4.28,-3.368133544921875,2.6381988525390625,4.8321380615234375
214,4.3,-3.36767578125,2.620635986328125,4.860595703125
215,4.32,-3.31317138671875,2.5573577880859375,4.8564453125
216,4.34,-3.25958251953125,3.22998046875,3.5637664794921875
217,4.36,-3.2088241577148438,2.4564056396484375,4.7996673583984375
218,4.38,-2.4423370361328125,0.93817138671875,5.566558837890625
219,4.4,0.03408050537109375,4.61419677734375,8.09503173828125
220,4.42,1.6122589111328125,7.8709869384765625,10.93927001953125
221,4.44,2.3823471069335938,9.399185180664062,11.127822875976562
222,4.46,7.025360107421875,18.469375610351562,15.618194580078125
223,4.48,8.466957092285156,21.590362548828125,17.259170532226562
224,4.5,11.487991333007812,29.464309692382812,23.279617309570312
225,4.52,13.329338073730469,32.525360107421875,24.0111083984375
226,4.54,16.71198272705078,39.34434509277344,28.059860229492188
227,4.56,19.41448974609375,45.30641174316406,32.28352355957031
228,4.58,21.378005981445312,47.99681091308594,33.1441650390625
229,4.6,25.03729248046875,56.122283935546875,38.080413818359375
230,4.62,26.901348114013672,59.52135467529297,39.13995361328125
231,4.64,28.04296112060547,62.339805603027344,41.34954833984375
232,4.66,28.136924743652344,65.48723602294922,45.08628845214844
233,4.68,30.993587493896484,71.086669921875,47.74205017089844
234,4.7,33.69429397583008,76.05912780761719,51.83349609375
235,4.72,35.33163833618164,78.1898193359375,52.42658233642578
236,4.74,36.035499572753906,81.02411651611328,54.447059631347656
237,4.76,37.03350830078125,82.59841918945312,55.22528076171875
238,4.78,37.250431060791016,84.99050903320312,58.569244384765625
239,4.8,39.55640411376953,89.38455200195312,62.152862548828125
240,4.82,39.685218811035156,90.5332260131836,62.75584411621094
241,4.84,40.337162017822266,92.23908233642578,64.02496337890625
242,4.86,41.54127883911133,94.04045104980469,64.7537841796875
243,4.88,41.559303283691406,95.12093353271484,66.27400970458984
244,4.9,41.574058532714844,95.72940063476562,66.87207794189453
245,4.92,42.11956024169922,95.82974243164062,65.86304473876953
246,4.94,42.63671875,96.37306213378906,66.33859252929688
247,4.96,42.64714050292969,97.0071029663086,66.82609558105469
248,4.98,42.64825439453125,97.4463119506836,67.95199584960938
249,5.0,42.646968841552734,96.84339141845703,67.48389434814453
250,5.02,42.64242172241211,96.3823471069336,66.34698486328125
251,5.04,42.10403823852539,95.39518737792969,65.33747863769531
252,5.06,41.586769104003906,95.7369613647461,67.45587158203125
253,5.08,41.56916809082031,95.11316680908203,66.95917510986328
254,5.1,41.549991607666016,94.04165649414062,65.3283462524414
255,5.12,41.46393966674805,92.9190673828125,63.00706481933594
256,5.14,39.69172286987305,90.09492492675781,62.862876892089844
257,5.16,37.903560638427734,86.76472473144531,60.75340270996094
258,5.18,38.359127044677734,86.05952453613281,60.38916015625
259,5.2,35.58006286621094,81.70182800292969,57.65801239013672
260,5.22,33.96893310546875,80.07391357421875,58.56324768066406
261,5.24,33.48603439331055,79.00231170654297,56.83055114746094
262,5.26,31.696334838867188,73.96369934082031,52.52027893066406
263,5.28,29.158878326416016,67.44584655761719,47.1893310546875
264,5.3,26.999431610107422,64.4823989868164,49.61090087890625
265,5.32,26.887554168701172,61.41168212890625,45.832183837890625
